😀,face,grin,smile,grinning face,smiling,smiling,happy,,
😃,face,grinning face with big eyes,open,mouth,smile,smiling,happy,,
😄,eye,face,mouth,grinning face with smiling eyes,open,smile,smiling,,
😁,beaming face with smiling eyes,eye,grin,face,smile,smiling,happy,,
😆,face,grinning squinting face,mouth,laugh,satisfied,smile,smiling,squint,happy
😅,cold,face,open,grinning face with sweat,smile,sweat,smiling,laugh,funny
🤣,face,floor,rofl,laugh,rolling,rolling on the floor laughing,rotfl,funny,cry
😂,face,face with tears of joy,laugh,joy,tear,funny,cry,,
🙂,face,slightly smiling face,smiling,smile,,,,,
🙃,face,upside-down,sarcasm,silly,sarcastic,uh oh,,,
😉,face,wink,winking face,,,,,,
😊,blush,eye,smile,face,smiling face with smiling eyes,,,,
😇,angel,face,halo,fantasy,innocent,smiling face with halo,,,
🥰,adore,crush,in love,hearts,smiling face with hearts,,,,
😍,eye,face,smile,love,smiling face with heart-eyes,hearts,,,
🤩,eyes,face,star,grinning,star-struck,,,,
😘,face,face blowing a kiss,flirt,kiss,kiss with heart,,,,
😗,face,kiss,pout,kissing face,,,,,
😚,closed,eye,kiss,face,kissing face with closed eyes,kiss squinty,,,
😙,eye,face,kissing face with smiling eyes,kiss,smile,,,,
🥲,grateful,proud,smiling,relieved,smiling face with tear,tear,touched,,
😋,delicious,face,savouring,face savoring food,smile,yum,,,
😛,face,face with tongue,tongue,,,,,,
😜,eye,face,tongue,joke,wink,winking face with tongue,,,
🤪,eye,goofy,small,large,zany face,silly,,,
😝,eye,face,squinting face with tongue,horrible,taste,tongue,,,
🤑,face,money,mouth,money-mouth face,,,,,
🤗,face,hug,hugging,,,,,,
🤭,face with hand over mouth,whoops,shush,shh,,,,,
🤫,quiet,shush,shh,shushing face,,,,,
🤔,face,thinking,,,,,,,
🤐,face,mouth,zipper-mouth face,zipper,shh,,,,
🤨,distrust,face with raised eyebrow,unsure,skeptic,,,,,
😐,deadpan,face,neutral,meh,,,,,
😑,expressionless,face,meh,inexpressive,unexpressive,,,,
😶,face,face without mouth,quiet,mouth,silent,,,,
